City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,39.31,60,0,17.27,clear sky
1,Longyearbyen,SJ,78.2186,15.6401,44.44,70,75,12.66,broken clouds
2,Puerto Carreno,CO,6.189,-67.4859,78.19,85,82,6.69,broken clouds
3,Yellowknife,CA,62.456,-114.3525,82.29,50,20,10.36,few clouds
4,East London,ZA,-33.0153,27.9116,66.04,30,93,6.55,overcast clouds
5,Tommot,RU,58.9564,126.2925,54.64,71,93,2.42,overcast clouds
6,Lavrentiya,RU,65.5833,-171.0,43.34,86,100,7.87,overcast clouds
7,Torbay,CA,47.6666,-52.7314,66.97,76,75,21.85,broken clouds
8,Saint-Philippe,RE,-21.3585,55.7679,67.55,84,32,10.31,light rain
9,Kingaroy,AU,-26.5333,151.8333,55.44,100,90,4.61,fog
10,Rikitea,PF,-23.1203,-134.9692,70.61,71,4,10.0,clear sky
11,Kieta,PG,-6.2167,155.6333,81.54,78,30,6.29,scattered clouds
12,Batagay-Alyta,RU,67.8006,130.4114,65.3,60,52,4.03,broken clouds
13,Korgen,NO,66.0771,13.8153,57.31,87,96,5.7,overcast clouds
14,Abha,SA,18.2164,42.5053,64.22,88,20,4.61,few clouds
15,Simbahan,PH,6.3032,120.5836,83.39,76,43,9.48,scattered clouds
16,Isla Vista,US,34.4133,-119.861,106.34,55,1,13.8,clear sky
17,Chuy,UY,-33.6971,-53.4616,49.39,89,0,4.79,clear sky
18,Vaini,TO,-21.2,-175.2,75.36,78,75,19.57,broken clouds
19,Mataura,NZ,-46.1927,168.8643,47.48,100,100,1.97,light rain
20,Wote,KE,-1.7808,37.6288,58.69,89,97,3.36,overcast clouds
21,Chokurdakh,RU,70.6333,147.9167,37.99,82,100,20.38,overcast clouds
22,Mackay,AU,-21.15,149.2,69.04,100,90,5.75,mist
23,Airai,TL,-8.9266,125.4092,57.54,90,63,3.31,broken clouds
24,Hamilton,US,39.1834,-84.5333,76.71,70,90,1.99,overcast clouds
25,Qaanaaq,GL,77.484,-69.3632,43.07,83,89,4.09,overcast clouds
26,Santiago Del Estero,AR,-27.7951,-64.2615,62.28,23,2,6.02,clear sky
27,Pisco,PE,-13.7,-76.2167,66.25,68,0,9.22,clear sky
28,Whitianga,NZ,-36.8333,175.7,55.02,65,55,4.88,broken clouds
29,Clyde River,CA,70.4692,-68.5914,43.03,87,75,6.91,broken clouds
30,Berlevag,NO,70.8578,29.0864,48.45,92,100,8.75,light rain
31,Nikolskoye,RU,59.7035,30.7861,64.29,84,41,6.33,scattered clouds
32,Hilo,US,19.7297,-155.09,81.81,73,75,6.91,light rain
33,Antioch,TR,36.2066,36.1572,82.22,62,1,5.21,clear sky
