City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Puerto Carreno,CO,78.19,broken clouds,6.189,-67.4859,Casa Hotel Victoria
3,Yellowknife,CA,82.29,few clouds,62.456,-114.3525,The Explorer Hotel
10,Rikitea,PF,70.61,clear sky,-23.1203,-134.9692,People ThankYou
11,Kieta,PG,81.54,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
18,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
24,Hamilton,US,76.71,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
32,Hilo,US,81.81,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
33,Antioch,TR,82.22,clear sky,36.2066,36.1572,The Liwan Hotel
34,Gat,IL,82.4,clear sky,31.61,34.7642,OlusHome
35,Sabha,LY,88.52,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
38,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
39,Port Blair,IN,81.79,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
41,Thompson,CA,75.36,broken clouds,55.7435,-97.8558,Burntwood Hotel
42,Jamestown,US,74.08,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
48,Lufilufi,WS,83.98,broken clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
51,Berezanskaya,RU,75.45,clear sky,45.7056,39.5932,Berezanskaya Na Beregovoy
52,Sao Filipe,CV,75.74,overcast clouds,14.8961,-24.4956,Hotel Xaguate
54,Cockburn Town,TC,85.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
56,Mahebourg,MU,70.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
57,Hithadhoo,MV,81.0,light rain,-0.6,73.0833,Scoop Guest House
58,La Orilla,MX,85.42,overcast clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
59,Kapaa,US,84.52,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
62,Puerto Ayora,EC,78.76,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
63,Paka,MY,75.13,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA
69,Norman Wells,CA,78.84,broken clouds,65.282,-126.8329,Heritage Hotel
74,Ponta Delgada,PT,74.12,broken clouds,37.7333,-25.6667,Vila Nova Hotel
76,Katsuura,JP,82.11,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
78,San Quintin,MX,76.89,scattered clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
80,Road Town,VG,86.04,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
82,Bambous Virieux,MU,70.21,light rain,-20.3428,57.7575,Casa Tia Villa
83,Butaritari,KI,81.68,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
84,Alto Longa,BR,85.95,clear sky,-5.2511,-42.2103,pousada E Restaurante Longá
92,Matara,LK,77.94,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
93,Fukue,JP,81.34,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
95,Fairbanks,US,77.59,clear sky,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
99,Santa Catarina De Tepehuanes,MX,78.53,broken clouds,25.35,-105.7333,hotel plaza
102,Sampit,ID,73.17,few clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
103,Port Keats,AU,73.13,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
106,Atuona,PF,76.89,scattered clouds,-9.8,-139.0333,Villa Enata
108,Faanui,PF,78.04,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
109,Arlit,NE,88.0,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
110,Portland,US,89.89,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
116,Kupang,ID,75.06,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
117,Acarau,BR,78.84,overcast clouds,-2.8856,-40.12,castelo pizzaria
118,Lorengau,PG,81.93,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
122,San Cristobal,VE,84.38,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
